What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
Other Europe,,30-34,41435,Consulting,"Fortune 1000 (1,000+)",Embedded Application Developer,Once in a blue moon,Influencer,"nan, Software","nan, Don't know",Mobile,"Java, C++, C",Linux,I enjoy going to work,"$20,000 - $40,000","nan, Android, Regular Mobile Phone, Other netbook, Xbox",$100-$250,Stack Overflow
Russia,,25-29,41310,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, PHP, SQL, Perl",Linux,I enjoy going to work,"$20,000 - $40,000","nan, Regular Mobile Phone, HDTV, Other netbook","$501-$1,000",Stack Overflow
Other Europe,,25-29,41435,Consulting,Mature Small Business (25-100),Embedded Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Mobile,"Java, Ruby, objective c",Mac OS X,So happy it hurts,"$20,000 - $40,000","iPhone, Android, Kindle, iPad, PS3",$251-$500,Stack Overflow
Mexico,,30-34,41435,Gaming,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,Influencer,"nan, Software","nan, Don't know",Web Platform,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C#, C, bash",Linux,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone, Wii, Other gaming system, ipod touch",<$100,Stack Overflow
Other Europe,,25-29,11,Healthcare,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows Vista,It pays the bills,"$20,000 - $40,000","nan, Android","$501-$1,000",Stack Overflow
Other Asia,,25-29,41310,Software Products,"Fortune 1000 (1,000+)",IT Staff / System Administrator,Not in a million years,Influencer,"nan, Servers","nan, $10,001 - $25,000",Enterprise,"Java, PHP, Python",Linux,I'm not happy in my job,"$40,000 - $60,000","nan, Android, Kindle, Other gaming system","$501-$1,000",Stack Overflow
Australia,,30-34,11,Finance / Banking,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"Java, JavaScript, CSS, PHP, SQL, C#, C++, C, Perl",Windows XP,It pays the bills,"$120,000 - $140,000","iPhone, HDTV, iPad, PS3, Xbox",">$3,000",Stack Overflow
Other Asia,,25-29,41310,Software Products,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",Other,"nan, C#",Windows 7,I enjoy going to work,,nan,<$100,Stack Overflow
Other Europe,,30-34,11,Web Services,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Web Platform,"nan, JavaScript, CSS, PHP, Python, Ruby, SQL",Mac OS X,It pays the bills,"<$20,000",nan,"$1,001-$2,000",Stack Overflow
Russia,,25-29,41435,Web Services,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",SaaS,"nan, JavaScript, CSS, C#",Windows 7,It pays the bills,"$20,000 - $40,000","nan, Android, HDTV, Xbox","$1,001-$2,000",Stack Overflow
Australia,,40-50,11,Web Services,Mature Small Business (25-100),Manager of Developers or Team Leader,It's been known to happen,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $10,001 - $25,000",Web Platform,"nan, JavaScript, CSS, PHP, SQL, C, Perl",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, HDTV, Wii","$1,001-$2,000",Stack Overflow
Netherlands,,35-39,41435,Web Services,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",SaaS,"Java, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$20,000 - $40,000","nan, Android, Other netbook","$501-$1,000",Stack Overflow
India,,20-24,41310,Gaming,Start Up (1-25),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,"Java, C#, C++, C",Windows 7,I enjoy going to work,"<$20,000","nan, Regular Mobile Phone, Other netbook",$251-$500,Stack Overflow
Australia,,25-29,41310,Gaming,Mature Small Business (25-100),Other,It's been known to happen,"nan, No Involvement",nan,nan,Other,"nan, Python, SQL, C#, C++, C, Lua",Windows Vista,I enjoy going to work,"$60,000 - $80,000","iPhone, Other Smart Phone, iPad, PS3, Xbox, Wii","$2,001-$3,000",Stack Overflow
Australia,,,,,,,,nan,nan,nan,,nan,,,,nan,,
Other Europe,,40-50,11,Consulting,"Other (not working, consultant, etc.)",Web Application Developer,I run this place,"nan, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, >$150,000",Web Platform,"nan, JavaScript, CSS, SQL, C#, C++, C",Windows 7,I enjoy going to work,">$140,000","nan, Other Smart Phone, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook",">$3,000",Stack Overflow
United States of America,Virginia,35-39,11,Web Services,Start Up (1-25),Web Application Developer,It's been known to happen,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"Java, JavaScript, CSS, Python, C++, C",Linux,It pays the bills,"<$20,000","nan, Android","$1,001-$2,000",Stack Overflow
United Kingdom,,40-50,11,Consulting,"Other (not working, consultant, etc.)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,"Java, JavaScript, CSS, PHP, Python, SQL, C",Mac OS X,So happy it hurts,"$60,000 - $80,000","iPhone, Regular Mobile Phone","$501-$1,000",Stack Overflow
Australia,,30-34,41435,Foundation / Non-Profit,"Fortune 1000 (1,000+)",IT Manager,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, >$150,000",Enterprise,"nan, PHP",Mac OS X,I enjoy going to work,"$60,000 - $80,000","iPhone, HDTV","$1,001-$2,000",Server Fault
Germany,,35-39,11,Software Products,Start Up (1-25),Desktop Application Developer,It's been known to happen,"nan, Recommender","Hardware, Software","<$10,000",Enterprise,"nan, C#, C++",Windows XP,I'm not happy in my job,"$40,000 - $60,000","iPhone, HDTV, AppleTV, iPad","$501-$1,000",Stack Overflow
United States of America,Pennsylvania,20-24,41310,Web Services,Student,Student,It's been known to happen,"nan, Recommender, Purchaser","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",SaaS,"Java, JavaScript, CSS, PHP, Ruby, SQL, C++, C",Windows 7,It pays the bills,Student / Unemployed,"nan, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook, Other gaming system","$1,001-$2,000",Stack Overflow
Africa,,25-29,41310,Software Products,Mature Small Business (25-100),Embedded Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"Java, SQL",Windows XP,I enjoy going to work,"<$20,000","nan, Other Smart Phone, Other netbook, Other gaming system","$1,001-$2,000",Stack Overflow
Germany,,20-24,41435,Finance / Banking,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,SaaS,"Java, JavaScript, CSS, C++, C, Lisp, Clojure",Linux,It pays the bills,"$60,000 - $80,000","nan, Android, HDTV, Wii, Other gaming system",$251-$500,Stack Overflow
United States of America,Texas,20-24,41310,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, JavaScript, CSS, PHP, Ruby, SQL",Mac OS X,I enjoy going to work,,iPhone,"$2,001-$3,000",Stack Overflow
United States of America,Texas,30-34,41435,Other,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software","nan, Don't know",SaaS,"Java, JavaScript, PHP, Python, SQL, C#, C, Perl, Erlang",Linux,FML,"$100,000 - $120,000","nan, Android, Kindle, Blu-Ray, HDTV, Other netbook, PS3, Wii",">$3,000",Stack Overflow
Australia,,25-29,41310,Web Services,Start Up (1-25),Embedded Application Developer,I run this place,"nan, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",SaaS,"Java, Python, C++, C",Linux,So happy it hurts,"$20,000 - $40,000",iPhone,$251-$500,Stack Overflow
Other Europe,,,,,,,,nan,nan,nan,,nan,,,,nan,,
United States of America,Oregon,25-29,41310,Other,"Fortune 1000 (1,000+)",Systems Analyst,It's been known to happen,"Influencer, Recommender","Hardware, Software","nan, Don't know",Mobile,"nan, JavaScript, CSS, PHP, SQL, C#, C, Objective-C",Windows Vista,I'm not happy in my job,"$40,000 - $60,000","iPhone, Kindle, HDTV, iPad, Xbox","$1,001-$2,000",Stack Overflow
Canada,,40-50,41435,Foundation / Non-Profit,,,,nan,nan,nan,,nan,,,,nan,,
Canada,,25-29,41310,Software Products,Mature Small Business (25-100),Other,It's been known to happen,"nan, No Involvement",nan,nan,Other,"Java, JavaScript, CSS, SQL, C++, C, RPG",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android, Other gaming system, PC",$100-$250,Stack Overflow
India,,51-60,11,Consulting,"Other (not working, consultant, etc.)",Desktop Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, C#, foxpro",Windows XP,I enjoy going to work,"<$20,000","iPhone, Regular Mobile Phone",$251-$500,Stack Overflow
Canada,,30-34,41435,Consulting,Start Up (1-25),Desktop Application Developer,I run this place,"nan, Purchaser","Hardware, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Mobile,"Java, C++, C, Perl, Objective-C",Mac OS X,It pays the bills,"$20,000 - $40,000","iPhone, HDTV, AppleTV, iPad, Xbox, Wii","$501-$1,000",Stack Overflow
Australia,,30-34,11,Software Products,Start Up (1-25),Desktop Application Developer,It's been known to happen,"Influencer, Recommender, Approver","nan, Software","nan, Don't know",Other,"nan, PHP, Ruby, SQL, C#, C++, Delphi",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Other netbook",$251-$500,Stack Overflow
United States of America,Illinois,25-29,41435,Finance / Banking,Start Up (1-25),Server Programmer,Unless it's stoopid it gets done,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, >$150,000",Other,"nan, Python, C#, C, ActionScript",Linux,It pays the bills,"$100,000 - $120,000","iPhone, Kindle, Other netbook, Wii","$2,001-$3,000",Stack Overflow
United States of America,Minnesota,25-29,41435,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, Other","nan, Don't know",SaaS,"nan, JavaScript, CSS, SQL, C#",Windows Vista,I enjoy going to work,"$100,000 - $120,000","iPhone, Nook, Blu-Ray, HDTV, Wii","$501-$1,000",Stack Overflow
United States of America,Oklahoma,35-39,11,Other,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software","nan, Don't know",Web Platform,"Java, JavaScript, CSS, PHP, Python",Mac OS X,It pays the bills,,"iPhone, Nook, Other netbook, PS3, Xbox",">$3,000",Stack Overflow
Other Europe,,25-29,41310,Other,"Fortune 1000 (1,000+)",Embedded Application Developer,It's been known to happen,"nan, Purchaser","nan, Software","nan, $41,000 - $75,000",Other,"nan, JavaScript, CSS, PHP, SQL, C#, vb.net, bash scripting",,It pays the bills,,"nan, Android, Other Smart Phone, Blu-Ray, HDTV, Other netbook, PS3, Xbox","$2,001-$3,000",Stack Overflow
United States of America,Wisconsin,35-39,11,Healthcare,Mid Sized (100-999),Server Programmer,It's been known to happen,Influencer,"nan, Software","nan, >$150,000",Web Platform,"Java, Perl",Linux,I enjoy going to work,"$100,000 - $120,000","iPhone, Wii",">$3,000",Stack Overflow
Russia,,25-29,11,Web Services,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, $100,001 - $150,000",Web Platform,"nan, JavaScript, CSS, PHP, SQL, C++, C, Lua",Linux,I enjoy going to work,"$80,000 - $100,000","iPhone, Regular Mobile Phone, Other netbook",">$3,000",Stack Overflow
Canada,,35-39,11,Web Services,Mature Small Business (25-100),Web Application Developer,I run this place,"nan, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I'm not happy in my job,"$60,000 - $80,000","iPhone, Blu-Ray, HDTV, AppleTV, Wii","$501-$1,000",Stack Overflow
United States of America,Minnesota,30-34,41435,Consulting,Start Up (1-25),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, SQL, C#, C++, C",Windows XP,I enjoy going to work,"$100,000 - $120,000","iPhone, Blu-Ray, HDTV, iPad, Other netbook, PS3, Xbox","$2,001-$3,000",Stack Overflow
United States of America,California,20-24,41310,Finance / Banking,Mid Sized (100-999),Desktop Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,"Java, Objective-C",Mac OS X,I enjoy going to work,"$40,000 - $60,000","nan, Other Smart Phone, Nook, Xbox","$501-$1,000",Stack Overflow
United States of America,North Carolina,35-39,41310,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","Hardware, Software","nan, $25,001 - $40,000",Web Platform,"nan, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android",$251-$500,Super User
Other Asia,,30-34,41435,Education,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"Java, JavaScript, CSS, PHP, SQL, C#, Perl",Linux,I enjoy going to work,"$20,000 - $40,000","nan, Regular Mobile Phone, Kindle, Other netbook, Xbox, Other gaming system",$100-$250,Stack Overflow
Australia,,30-34,11,Other,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,SaaS,"nan, JavaScript, CSS, PHP, C++, C, Perl",Linux,It pays the bills,Student / Unemployed,"nan, Android, Other Smart Phone","$1,001-$2,000",Server Fault
United States of America,Washington,30-34,41310,Other,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,"Java, CSS, SQL",Windows XP,It pays the bills,"$40,000 - $60,000","nan, Android, Xbox, Other gaming system","$1,001-$2,000",Stack Overflow
United States of America,Texas,35-39,11,Other,Mid Sized (100-999),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","nan, Software, Consultants","nan, Don't know",SaaS,"nan, JavaScript, CSS, SQL, C#, VB.NET",Windows 7,It pays the bills,"$120,000 - $140,000","nan, Android, HDTV, Xbox, iPod Touch","$1,001-$2,000",Stack Overflow
Other Europe,,30-34,41435,Software Products,Mid Sized (100-999),Manager of Developers or Team Leader,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",Enterprise,"nan, SQL, C#, Delphi",Windows XP,I enjoy going to work,"$40,000 - $60,000","iPhone, iPad, PS3","$1,001-$2,000",Stack Overflow
United States of America,South Carolina,20-24,41435,Education,Student,Student,It's been known to happen,"Influencer, Recommender","Hardware, Software","nan, Don't know",Other,"nan, JavaScript, SQL, C++",Windows XP,I enjoy going to work,"$20,000 - $40,000","nan, Regular Mobile Phone, Other gaming system",$251-$500,Stack Overflow
United States of America,Michigan,20-24,41310,Web Services,Student,Student,It's been known to happen,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Web Platform,"Java, JavaScript, CSS, PHP, SQL, C",Mac OS X,I enjoy going to work,"$20,000 - $40,000","iPhone, iPad, Wii",$251-$500,Stack Overflow
United States of America,California,40-50,11,Software Products,Mid Sized (100-999),Database Administrator,It's been known to happen,Influencer,"nan, Software","<$10,000",SaaS,"nan, SQL, C#",Windows 7,I enjoy going to work,"$100,000 - $120,000","iPhone, HDTV, Xbox",$251-$500,Stack Overflow
United Kingdom,,35-39,11,Finance / Banking,Mid Sized (100-999),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Other,"nan, JavaScript, CSS, PHP, SQL, C#, Perl",Windows 7,So happy it hurts,"$100,000 - $120,000","iPhone, Regular Mobile Phone, Kindle, HDTV, iPad, Other netbook, Wii, Other gaming system","$2,001-$3,000",Other
United States of America,California,20-24,41435,Web Services,Start Up (1-25),Web Application Developer,I run this place,"nan, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $10,001 - $25,000",SaaS,"nan, JavaScript, CSS, PHP, Lua",Windows XP,I enjoy going to work,"<$20,000","nan, Regular Mobile Phone, Blu-Ray, Wii",">$3,000",Stack Overflow
South America,,30-34,11,Software Products,Mid Sized (100-999),Other,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, >$150,000",Other,"Java, JavaScript, CSS, Python, SQL, C, Perl",Linux,I enjoy going to work,"$60,000 - $80,000","nan, Android, Other gaming system",">$3,000",Stack Overflow
Other Asia,,35-39,11,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"Java, C#",Mac OS X,It pays the bills,"$20,000 - $40,000","iPhone, iPad, Other netbook, Wii","$2,001-$3,000",Stack Overflow
Other Asia,,30-34,41310,Gaming,Mature Small Business (25-100),Desktop Application Developer,I run this place,"nan, Approver","nan, Software","nan, $25,001 - $40,000",Other,"nan, Python, C#, C++",Windows 7,I enjoy going to work,"$20,000 - $40,000","nan, Other gaming system","$501-$1,000",Stack Overflow
United States of America,Illinois,35-39,11,Manufacturing,"Fortune 1000 (1,000+)",Other,It's been known to happen,"Influencer, Recommender","Hardware, Software, Consultants","nan, Don't know",Web Platform,"nan, CSS, Ruby, VB, Objective C",Mac OS X,It pays the bills,"$100,000 - $120,000","iPhone, Blackberry, Blu-Ray, HDTV, PS3, Xbox, Wii, Other gaming system","$1,001-$2,000",Stack Overflow
Australia,,35-39,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,It's been known to happen,"Influencer, Recommender, Approver","nan, Software, Consultants","nan, Don't know",Enterprise,"Java, JavaScript, CSS, PHP, Python, SQL, C#, C++, Perl, sh",Windows 7,It pays the bills,"$40,000 - $60,000","nan, Blackberry, Wii",">$3,000",Stack Overflow
Other Europe,,25-29,41435,Software Products,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"Java, JavaScript, CSS, SQL",Windows XP,It pays the bills,"$40,000 - $60,000","nan, Other Smart Phone, iPad, Other netbook, PS3, Other gaming system","$501-$1,000",Super User
Other Asia,,20-24,11,Finance / Banking,"Fortune 1000 (1,000+)",IT Manager,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software","nan, $100,001 - $150,000",Enterprise,"Java, JavaScript, CSS, PHP, Python, SQL, C#, C++, C, Perl",Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, Regular Mobile Phone, Wii",$251-$500,Stack Overflow
Other Asia,,20-24,41435,Finance / Banking,Mature Small Business (25-100),Web Application Developer,Not in a million years,"nan, No Involvement",nan,nan,Enterprise,Java,Windows 7,I enjoy going to work,"<$20,000","nan, Test",$251-$500,Stack Overflow
Germany,,25-29,41310,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, CSS, PHP",Mac OS X,I enjoy going to work,"$60,000 - $80,000",iPhone,"$501-$1,000",Stack Overflow
Canada,,25-29,41310,Web Services,"Other (not working, consultant, etc.)",Web Application Developer,Once in a blue moon,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, JavaScript, CSS, PHP",Windows 7,,,nan,,
North America (Other),,20-24,41310,Education,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","<$10,000",Enterprise,"nan, SQL, C#",Windows XP,I enjoy going to work,"<$20,000","nan, Android, PS3",$251-$500,Stack Overflow
United States of America,New Jersey,20-24,41435,Education,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C#, C++",Windows 7,,,nan,,
United States of America,California,40-50,11,Software Products,Mid Sized (100-999),Embedded Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Mobile,"Java, JavaScript, C++, C, Perl",Mac OS X,I enjoy going to work,">$140,000","iPhone, Android, Blackberry, Kindle, Blu-Ray, iPad, PS3",">$3,000",Stack Overflow
United States of America,Massachusetts,35-39,11,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,SaaS,"Java, C#, Perl, progress abl",Windows 7,I enjoy going to work,">$140,000","nan, Android, HDTV, Other netbook, mythtv dvr",$251-$500,Stack Overflow
India,,30-34,11,Consulting,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Once in a blue moon,Influencer,"nan, Software, Consultants","nan, Don't know",Web Platform,"nan, JavaScript, CSS, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone","$1,001-$2,000",Stack Overflow
United States of America,Wisconsin,35-39,11,Manufacturing,"Fortune 1000 (1,000+)",Desktop Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,"nan, SQL, C#, C++",Windows 7,It pays the bills,"$60,000 - $80,000","nan, Blu-Ray, HDTV, Wii",<$100,Stack Overflow
Other Europe,,40-50,11,Software Products,"Other (not working, consultant, etc.)",Manager of Developers or Team Leader,It's been known to happen,Influencer,"Hardware, Software, Other","<$10,000",Web Platform,"Java, JavaScript, Ruby, SQL",Mac OS X,It pays the bills,"$100,000 - $120,000","nan, Android, HDTV, PS3, Xbox",">$3,000",Stack Overflow
Other Europe,,25-29,41435,Education,"Fortune 1000 (1,000+)",IT Staff / System Administrator,Unless it's stoopid it gets done,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, Perl",Linux,I enjoy going to work,,"nan, Android, HDTV",,Server Fault
Other Europe,,30-34,41310,Advertising,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Purchaser","Hardware, Software","nan, $25,001 - $40,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Android, Other Smart Phone, Blu-Ray, Xbox","$1,001-$2,000",Stack Overflow
Netherlands,,25-29,11,Web Services,Start Up (1-25),Web Application Developer,Once in a blue moon,"nan, Recommender","nan, Software","<$10,000",Enterprise,"nan, JavaScript, CSS, PHP, SQL, C#",Mac OS X,I enjoy going to work,"$20,000 - $40,000","iPhone, HDTV, Xbox, Wii, Other gaming system",$251-$500,Stack Overflow
United States of America,California,25-29,41310,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","nan, Software","nan, Don't know",Enterprise,"Java, JavaScript, CSS, Python, SQL, Objective-C",Mac OS X,I enjoy going to work,"$80,000 - $100,000","iPhone, Kindle, Blu-Ray, HDTV, AppleTV, PS3, Wii","$2,001-$3,000",Stack Overflow
South America,,25-29,41435,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"Java, JavaScript, CSS, PHP, SQL, C",Windows XP,I'm not happy in my job,"$20,000 - $40,000","nan, Other Smart Phone","$1,001-$2,000",Stack Overflow
Canada,,30-34,41310,Education,Student,Student,It's been known to happen,Influencer,"nan, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"Java, SQL, Perl",Windows 7,I enjoy going to work,Student / Unemployed,"nan, Regular Mobile Phone, iPad, Other netbook","$1,001-$2,000",Super User
United States of America,Florida,25-29,41435,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software","nan, $41,000 - $75,000",Enterprise,"nan, CSS, SQL, C#, Objective c",Windows XP,It pays the bills,"$80,000 - $100,000","iPhone, HDTV, iPad, Xbox","$1,001-$2,000",Stack Overflow
United States of America,Utah,40-50,11,Advertising,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Enterprise,"nan, JavaScript, CSS, Ruby, SQL, C#",Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Android, Kindle, iPad, PS3, Xbox","$1,001-$2,000",Stack Overflow
Other Europe,,25-29,41310,Web Services,Start Up (1-25),Web Application Developer,Once in a blue moon,"Influencer, Recommender","Hardware, Servers","<$10,000",Web Platform,"nan, PHP",Windows Vista,It pays the bills,"<$20,000","nan, Android, Kindle, Other gaming system","$501-$1,000",Stack Overflow
South America,,35-39,11,Software Products,Mid Sized (100-999),Manager of Developers or Team Leader,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",SaaS,"nan, JavaScript, CSS, PHP, Perl",Linux,I'm not happy in my job,"$20,000 - $40,000","nan, Android, Blackberry, Other gaming system",">$3,000",Stack Overflow
United States of America,Texas,25-29,41435,Other,Start Up (1-25),IT Manager,It's been known to happen,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $75,001 - $100,000",Web Platform,"Java, JavaScript, CSS, PHP, Ruby, SQL, C#, C++, ColdFusion",Mac OS X,I enjoy going to work,"$60,000 - $80,000","iPhone, iPad",$251-$500,Server Fault
United States of America,New Jersey,30-34,11,Other,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $25,001 - $40,000",Other,"Java, JavaScript, CSS, Python, C++, C, matlab",Linux,So happy it hurts,"$120,000 - $140,000","nan, Android, HDTV, Wii",$100-$250,Stack Overflow
United States of America,Massachusetts,30-34,11,Web Services,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,Influencer,"Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, >$150,000",SaaS,"Java, JavaScript, Ruby, SQL, C#, C++, C",Windows 7,I'm not happy in my job,"$100,000 - $120,000","iPhone, Other Smart Phone, Kindle, HDTV, Xbox","$501-$1,000",Stack Overflow
