Year,Which languages are you proficient in?,What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
2011,nan,South America,,30-34,41435,Foundation / Non-Profit,"Other (not working, consultant, etc.)",Other,It's been known to happen,"Influencer, Recommender","nan, Other","<$10,000",,,,,nan,,
2011,"Java, JavaScript, CSS, PHP, Ruby, SQL",Germany,,30-34,41435,Manufacturing,Mid Sized (100-999),Web Application Developer,Once in a blue moon,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"$20,000 - $40,000","iPhone, Blackberry","$501-$1,000",Stack Overflow
2011,"Java, Python, SQL, Haskell",Russia,,20-24,<2,Software Products,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Linux,I enjoy going to work,"<$20,000","nan, Regular Mobile Phone, Other netbook",$251-$500,Stack Overflow
2011,"Java, PHP, SQL, C#",Other Asia,,25-29,41435,Software Products,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,Windows 7,I enjoy going to work,"<$20,000","nan, Android","$501-$1,000",Stack Overflow
2011,"Java, JavaScript, CSS",India,,25-29,41310,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,Once in a blue moon,"nan, Recommender","nan, Software","nan, $41,000 - $75,000",Other,Windows XP,It pays the bills,"<$20,000","nan, Android",$100-$250,Stack Overflow
2011,"nan, Python, C++, C, Fortran",France,,25-29,41435,Education,Mid Sized (100-999),Other,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, $25,001 - $40,000",Other,Mac OS X,So happy it hurts,"$20,000 - $40,000","iPhone, Regular Mobile Phone, Other gaming system",$251-$500,Stack Overflow
2011,nan,France,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"Java, C, Ada",France,,30-34,11,Other,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Other,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, HDTV","$1,001-$2,000",Stack Overflow
2011,"Java, SQL, Android",India,,20-24,<2,Software Products,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,Windows 7,I'm not happy in my job,">$140,000","nan, Creative Zen-MX","$2,001-$3,000",Stack Overflow
2011,"Java, JavaScript, CSS, Python, SQL",Middle East,,30-34,41435,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,"Influencer, Approver, Purchaser, Check Writer","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",SaaS,Linux,It pays the bills,"$80,000 - $100,000","nan, Android",$100-$250,Stack Overflow
2011,"nan, objective -c",India,,25-29,<2,Software Products,Mid Sized (100-999),Desktop Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Mobile,Mac OS X,It pays the bills,"<$20,000","nan, Other Smart Phone",<$100,Stack Overflow
2011,nan,Other Asia,,20-24,41310,Software Products,Start Up (1-25),Web Application Developer,I run this place,"Influencer, Recommender",nan,nan,,,,,nan,,
2011,"Java, JavaScript, PHP, C++, C",Other Europe,,40-50,11,Consulting,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software, Other","nan, $10,001 - $25,000",Mobile,Linux,I enjoy going to work,"$40,000 - $60,000","nan, Android, Other Smart Phone, Regular Mobile Phone, HDTV, Other netbook, Wii","$501-$1,000",Stack Overflow
2011,"Java, C#, C++",Other Europe,,20-24,41310,Software Products,Start Up (1-25),Embedded Application Developer,Once in a blue moon,"nan, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Mobile,Windows 7,It pays the bills,"<$20,000","nan, Android","$501-$1,000",Stack Overflow
2011,"Java, Python, SQL, C#, C++, C, Perl",Other Europe,,35-39,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Kindle, Xbox",$100-$250,Stack Overflow
2011,"nan, CSS, Python, SQL, C#",France,,30-34,41435,Web Services,Start Up (1-25),Web Application Developer,,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Enterprise,Windows Vista,I enjoy going to work,"$40,000 - $60,000","nan, Other gaming system","$1,001-$2,000",Stack Overflow
2011,"nan, PHP, SQL, None",Africa,,51-60,11,Web Services,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Web Platform,Linux,I enjoy going to work,"$100,000 - $120,000","nan, a vacuum cleaner",<$100,
2011,nan,Other Europe,,25-29,41435,Web Services,,,,nan,nan,nan,,,,,nan,,
2011,"nan, JavaScript, CSS, SQL, C#, C++, C",Other Asia,,25-29,41435,Finance / Banking,Mid Sized (100-999),Manager of Developers or Team Leader,It's been known to happen,"nan, Recommender","Hardware, Servers, Software, Consultants","<$10,000",Enterprise,Windows XP,I enjoy going to work,"$20,000 - $40,000","nan, Blackberry, Xbox, Wii",$251-$500,Stack Overflow
2011,"Java, Python, Ruby, C, Perl",United States of America,California,30-34,11,Education,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Other,Linux,I enjoy going to work,"$100,000 - $120,000","iPhone, HDTV, AppleTV, Other netbook","$2,001-$3,000",Stack Overflow
2011,"nan, C#, C++",Other Europe,,30-34,41310,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows Vista,It pays the bills,"<$20,000","nan, Other Smart Phone",<$100,Stack Overflow
2011,"nan, SQL, C#, C++, PowerBuilder",Middle East,,35-39,41435,Software Products,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I enjoy going to work,,nan,,Stack Overflow
2011,"Java, PHP, Python, SQL, C#, C++, C",Other Europe,,25-29,41435,Manufacturing,Mature Small Business (25-100),"Executive (VP of Eng, CTO, CIO, etc.)",Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $41,000 - $75,000",Other,Mac OS X,It pays the bills,"$100,000 - $120,000","iPhone, Android, Other Smart Phone, HDTV, Other netbook, Xbox, Wii",">$3,000",Stack Overflow
2011,nan,Canada,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"nan, JavaScript, SQL, C#",Other Europe,,20-24,41310,Web Services,Mid Sized (100-999),Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Web Platform,Windows 7,It pays the bills,"<$20,000",nan,<$100,Stack Overflow
2011,"nan, JavaScript, CSS, Python, Ruby, SQL, C#",United States of America,Minnesota,30-34,11,Consulting,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $10,001 - $25,000, $25,001 - $40,000",Web Platform,Windows 7,I'm not happy in my job,">$140,000","iPhone, Android, Blu-Ray, HDTV, iPad, PS3, Xbox, Wii, Other gaming system, Cr-48 baby!",">$3,000",Stack Overflow
2011,"nan, CSS, SQL, C, Lua",Australia,,40-50,<2,Other,Start Up (1-25),Other,Unless it's stoopid it gets done,"nan, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, $10,001 - $25,000",Web Platform,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Regular Mobile Phone, iPad, Other netbook","$1,001-$2,000",Super User
2011,"Java, C#, C++, C",India,,25-29,41435,Finance / Banking,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,I'm not happy in my job,,"iPhone, Android",$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, C, Objective-c",United States of America,Texas,20-24,41310,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,Mac OS X,I enjoy going to work,"$60,000 - $80,000","iPhone, iPad","$2,001-$3,000",Stack Overflow
2011,"Java, C#, Delphi",Russia,,20-24,41435,Software Products,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,Influencer,"nan, Software","<$10,000, $10,001 - $25,000, $25,001 - $40,000, $41,000 - $75,000, $75,001 - $100,000",Enterprise,Windows 7,It pays the bills,"$20,000 - $40,000","nan, Other Smart Phone, Blu-Ray, Other netbook","$2,001-$3,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, Python, SQL, C#, C++",United States of America,Illinois,20-24,41435,Finance / Banking,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software, Other","nan, Don't know",Other,Linux,It pays the bills,"$60,000 - $80,000",nan,$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, C++",Other Asia,,20-24,41435,Advertising,Mature Small Business (25-100),Web Application Developer,,"nan, No Involvement",nan,nan,Mobile,Linux,I enjoy going to work,"<$20,000","nan, Android","$1,001-$2,000",Stack Overflow
2011,"nan, SQL, C, Perl, bash, ksh",United States of America,New Mexico,>60,11,Software Products,Mid Sized (100-999),IT Staff / System Administrator,Unless it's stoopid it gets done,"nan, Recommender","Hardware, Servers, Software, Consultants","nan, $75,001 - $100,000",Enterprise,Linux,I enjoy going to work,"$80,000 - $100,000","nan, Kindle, Other gaming system",$100-$250,Stack Overflow
2011,"nan, JavaScript, CSS, PHP, Objective-C, VB.NET",United States of America,New York,< 20,41435,Other,Start Up (1-25),Student,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,Mac OS X,I enjoy going to work,Student / Unemployed,"iPhone, iPad, Wii","$2,001-$3,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, SQL, C#, C++",Australasia,,< 20,41435,Software Products,Student,Student,I run this place,"nan, Purchaser","Hardware, Software","<$10,000",Other,Windows 7,So happy it hurts,Student / Unemployed,nan,"$501-$1,000",Stack Overflow
2011,"Java, SQL, C#, C, Perl",United States of America,New York,25-29,41310,Finance / Banking,Mature Small Business (25-100),Server Programmer,It's been known to happen,"Influencer, Recommender","nan, Servers, Software","nan, >$150,000",Enterprise,Windows 7,I'm not happy in my job,"$80,000 - $100,000","nan, Other Smart Phone, Other netbook, Other gaming system",$251-$500,Stack Overflow
2011,"Java, JavaScript, PHP, Python, SQL, C++, C",Other Europe,,20-24,11,Web Services,Start Up (1-25),Server Programmer,I run this place,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $10,001 - $25,000",Web Platform,Windows 7,So happy it hurts,"$20,000 - $40,000","iPhone, HDTV, Other netbook","$1,001-$2,000",Stack Overflow
2011,"Java, SQL, C#, C++",United States of America,California,40-50,11,Other,"Fortune 1000 (1,000+)",Embedded Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,Linux,So happy it hurts,"$120,000 - $140,000",iPhone,<$100,Stack Overflow
2011,"nan, CSS, Ruby",Other Europe,,35-39,41310,Consulting,Start Up (1-25),Other,I run this place,"Influencer, Recommender, Approver","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Web Platform,Mac OS X,I enjoy going to work,"$40,000 - $60,000","iPhone, Wii","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, SQL, C++, C, Delphi",Germany,,40-50,11,Other,Mid Sized (100-999),Embedded Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, Don't know",Other,Windows XP,So happy it hurts,"$80,000 - $100,000","iPhone, iPad, Other netbook","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, PHP, SQL, C#",Canada,,35-39,11,Web Services,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",Web Platform,Windows XP,So happy it hurts,"$120,000 - $140,000","nan, Regular Mobile Phone, Other gaming system","$501-$1,000",Other
2011,"nan, JavaScript, PHP, Python, C++, C",Other Europe,,< 20,41435,Software Products,"Other (not working, consultant, etc.)",Student,Once in a blue moon,"nan, No Involvement",nan,nan,Web Platform,Linux,FML,Student / Unemployed,"nan, Regular Mobile Phone",<$100,Stack Overflow
2011,"Java, JavaScript, CSS, Ruby, SQL, Perl",United States of America,Massachusetts,51-60,11,Education,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Web Platform,Mac OS X,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone",$251-$500,Stack Overflow
2011,"Java, Python, C",Germany,,30-34,41435,Software Products,Mature Small Business (25-100),Desktop Application Developer,It's been known to happen,"nan, Recommender","nan, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,Linux,I enjoy going to work,Student / Unemployed,"nan, Regular Mobile Phone",$100-$250,Stack Overflow
2011,"Java, JavaScript, CSS, SQL, C#",United States of America,New York,25-29,41435,Retail,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software, Consultants","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"$100,000 - $120,000","iPhone, Nook, HDTV, Xbox, Wii","$1,001-$2,000",Stack Overflow
2011,"nan, objective-c",United Kingdom,,< 20,41310,Education,Student,Student,,"nan, No Involvement",nan,nan,Mobile,Mac OS X,I enjoy going to work,Student / Unemployed,"iPhone, Other Smart Phone, HDTV, Xbox, Wii",$251-$500,Stack Overflow
2011,"Java, JavaScript, CSS, PHP, C",United Kingdom,,51-60,11,Healthcare,Mature Small Business (25-100),IT Manager,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Other,Windows XP,I'm not happy in my job,"$40,000 - $60,000","iPhone, Blu-Ray, HDTV",">$3,000",Server Fault
2011,"nan, JavaScript, CSS, Python, Ruby, SQL, C#, C++, Perl",United States of America,Washington,35-39,11,Software Products,Mid Sized (100-999),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software","nan, $10,001 - $25,000, $100,001 - $150,000",Enterprise,Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Android, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook, Wii","$501-$1,000",Stack Overflow
2011,"nan, C++, C, fortran",United States of America,Kansas,35-39,11,Other,"Other (not working, consultant, etc.)",Other,It's been known to happen,"Influencer, Purchaser","nan, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,Mac OS X,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, Wii",$251-$500,Meta Stack Overflow
2011,nan,Other Europe,,20-24,41310,Software Products,Student,Student,It's been known to happen,"nan, Approver, Purchaser",nan,nan,,,,,nan,,
2011,"Java, JavaScript, CSS, PHP, SQL",United States of America,Virginia,20-24,41435,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Web Platform,Linux,I enjoy going to work,"$40,000 - $60,000","nan, Android, Wii","$1,001-$2,000",Stack Overflow
2011,"Java, CSS, Clojure, ActionScript",Other Europe,,25-29,<2,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows 7,It pays the bills,"<$20,000","nan, Other Smart Phone, Other netbook","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, Python, C++",United States of America,Illinois,25-29,11,Gaming,Start Up (1-25),Desktop Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,Mac OS X,So happy it hurts,"$20,000 - $40,000","iPhone, Android, iPad","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, C#, C++",Other Europe,,20-24,41435,Education,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,Other,Windows 7,I enjoy going to work,Student / Unemployed,"nan, Other Smart Phone, Other netbook",$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",United States of America,Missouri,25-29,41435,Healthcare,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",SaaS,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, HDTV, Xbox, Wii",$251-$500,
2011,"Java, scala",Canada,,40-50,11,Web Services,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,Windows 7,It pays the bills,"$60,000 - $80,000","nan, Regular Mobile Phone","$501-$1,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP",United States of America,Delaware,20-24,41310,Other,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",SaaS,Windows 7,So happy it hurts,"$40,000 - $60,000","iPhone, Kindle, Blu-Ray, HDTV, Other netbook, PS3, Xbox, Wii","$501-$1,000",Stack Overflow
2011,"nan, C++, LSL",United States of America,Pennsylvania,< 20,41310,Other,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,Other,Windows Vista,So happy it hurts,Student / Unemployed,"iPhone, Other gaming system",$100-$250,Stack Overflow
2011,"nan, C#",India,,25-29,41310,Software Products,"Other (not working, consultant, etc.)",Desktop Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Other","nan, Don't know",Web Platform,Windows Vista,I enjoy going to work,"$20,000 - $40,000",iPhone,$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL",United States of America,California,< 20,41435,Web Services,Mature Small Business (25-100),Web Application Developer,I run this place,"nan, Purchaser","nan, Servers, Software, Other","nan, >$150,000",SaaS,Mac OS X,So happy it hurts,">$140,000","iPhone, Blackberry, HDTV, iPad, Xbox","$2,001-$3,000",Stack Overflow
2011,nan,Mexico,,,,,,,,nan,nan,nan,,,,,nan,,
2011,nan,Canada,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"nan, C",South America,,20-24,<2,Education,Student,Student,I run this place,"nan, Purchaser","nan, Software","<$10,000",Other,Linux,So happy it hurts,Student / Unemployed,iPhone,<$100,Stack Overflow
2011,nan,Canada,,< 20,41310,Web Services,,,,nan,nan,nan,,,,,nan,,
2011,"Java, Python, SQL",Middle East,,40-50,11,Software Products,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"nan, Recommender","nan, Software, Other","nan, Don't know",Enterprise,Linux,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone, HDTV",<$100,Stack Overflow
2011,"nan, Objective-C (how is this not a choice)",United States of America,New York,< 20,<2,Software Products,Start Up (1-25),Student,I run this place,"nan, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Mobile,Mac OS X,So happy it hurts,Student / Unemployed,"iPhone, AppleTV, Wii","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, Python, Ruby, SQL, C#, F#,VB6",United States of America,Washington,40-50,41435,Consulting,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","<$10,000",Enterprise,Windows XP,I'm not happy in my job,"$100,000 - $120,000","nan, Regular Mobile Phone, Kindle, PS3, Other gaming system","$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, SQL, C#, C++",United States of America,California,30-34,11,Education,Mid Sized (100-999),Other,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, >$150,000",Other,Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Other Smart Phone, HDTV, Other netbook, Wii",">$3,000",Server Fault
2011,"nan, C#",United States of America,Massachusetts,< 20,<2,Software Products,Student,Student,Once in a blue moon,"nan, No Involvement",nan,nan,Other,Windows 7,I enjoy going to work,Student / Unemployed,"nan, Regular Mobile Phone, Other gaming system",$251-$500,Super User
2011,"Java, JavaScript, CSS, PHP, Ruby",United States of America,Maryland,30-34,41435,Other,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,Mac OS X,I enjoy going to work,"$60,000 - $80,000","iPhone, Kindle, Wii","$501-$1,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C#, C++, C",Other Europe,,25-29,41310,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender, No Involvement","Hardware, Software","nan, Don't know",Web Platform,Linux,I enjoy going to work,Student / Unemployed,"nan, Android, Other netbook",$100-$250,Stack Overflow
2011,"nan, JavaScript, PHP",Italy,,30-34,11,Web Services,Start Up (1-25),IT Staff / System Administrator,Once in a blue moon,"nan, Purchaser, No Involvement","Hardware, Servers, Software","<$10,000",Web Platform,Mac OS X,I'm not happy in my job,"$60,000 - $80,000","iPhone, Other Smart Phone, iPad, Other netbook",">$3,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#, asp.net-mvc",Other Asia,,25-29,<2,Manufacturing,Mid Sized (100-999),Web Application Developer,Once in a blue moon,"nan, Recommender","Hardware, Software","<$10,000",Web Platform,Windows XP,It pays the bills,"<$20,000","nan, Other Smart Phone",$251-$500,Server Fault
2011,"Java, Ruby, SQL, C++, C",Middle East,,20-24,41435,Software Products,Start Up (1-25),Web Application Developer,Once in a blue moon,"nan, Purchaser, Check Writer","nan, Software","nan, $25,001 - $40,000",Enterprise,Linux,It pays the bills,"<$20,000","nan, Other gaming system","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, VBScript",Canada,,25-29,41310,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,Influencer,"Hardware, Servers, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$20,000 - $40,000","nan, Blu-Ray, HDTV, iPad, PS3, Wii, iPod Touch","$2,001-$3,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, Python, SQL, Perl",Africa,,25-29,11,Software Products,Start Up (1-25),Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,Linux,I enjoy going to work,"$20,000 - $40,000","nan, Android",$100-$250,Stack Overflow
2011,"Java, JavaScript, Python, SQL, C++",United States of America,Connecticut,51-60,11,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","nan, >$150,000",Web Platform,Windows XP,I enjoy going to work,"$120,000 - $140,000","nan, Android",$251-$500,Stack Overflow
2011,"nan, JavaScript, SQL, C#",India,,25-29,41310,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows XP,I enjoy going to work,,nan,,Stack Overflow
2011,"nan, CSS, C++",Russia,,20-24,41435,Software Products,"Other (not working, consultant, etc.)",IT Manager,It's been known to happen,Influencer,"nan, Software","nan, $25,001 - $40,000",Web Platform,Mac OS X,So happy it hurts,,nan,,Server Fault
2011,"Java, CSS, Ruby, C++, C",Other Asia,,25-29,41435,Consulting,Start Up (1-25),Embedded Application Developer,Unless it's stoopid it gets done,"nan, Recommender, Approver, Purchaser","nan, Software","<$10,000",Mobile,Mac OS X,I enjoy going to work,"$60,000 - $80,000","iPhone, Android, iPad",$251-$500,Stack Overflow
2011,nan,Other Europe,,< 20,<2,Other,,,,nan,nan,nan,,,,,nan,,
2011,"nan, C#",India,,25-29,41435,Software Products,Start Up (1-25),Web Application Developer,I run this place,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,Windows 7,So happy it hurts,"<$20,000","nan, Blackberry","$501-$1,000",Stack Overflow
2011,nan,France,,25-29,41435,Web Services,,,,nan,nan,nan,,,,,nan,,
2011,"Java, JavaScript, CSS, PHP, Python, C",Other Asia,,25-29,41310,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,Mac OS X,I enjoy going to work,"$60,000 - $80,000","iPhone, Wii","$501-$1,000",Stack Overflow
2011,"nan, Python, C++",Canada,,51-60,11,Software Products,"Other (not working, consultant, etc.)",Desktop Application Developer,I run this place,"nan, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,Windows XP,I enjoy going to work,"<$20,000","nan, Other netbook","$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, CSS, Ruby, SQL, C++, C",United States of America,Arizona,25-29,41435,Other,Student,Student,It's been known to happen,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,Mac OS X,FML,"$20,000 - $40,000","nan, PS3","$501-$1,000",Stack Overflow
2011,"nan, C#, powershell",United Kingdom,,35-39,11,Consulting,"Other (not working, consultant, etc.)",Other,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, Other","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,">$140,000","nan, Android, Wii","$2,001-$3,000",Stack Overflow
2011,"Java, C++, C, ActionScript",United States of America,Colorado,30-34,41435,Education,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,Influencer,"Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,Mac OS X,I enjoy going to work,"$80,000 - $100,000","nan, Regular Mobile Phone, Wii","$501-$1,000",Stack Overflow
2011,"nan, CSS, PHP, C#, C++, C, AS3",Middle East,,30-34,41310,Education,"Other (not working, consultant, etc.)",Web Application Developer,I run this place,"nan, Approver","nan, Software","<$10,000",Mobile,Mac OS X,So happy it hurts,"$20,000 - $40,000",iPhone,"$1,001-$2,000",Stack Overflow
2011,"Java, CSS, PHP, SQL, C++",Other Europe,,< 20,41310,Education,Start Up (1-25),Web Application Developer,I run this place,"Influencer, Recommender, Purchaser, I'm a Seller","Hardware, Servers","nan, $10,001 - $25,000",Enterprise,Mac OS X,I enjoy going to work,"<$20,000",iPhone,"$1,001-$2,000",Stack Overflow
